businessname,dbaname,address,city,state,zip,descript,dayphn_cleaned,latitude,longitude
Asian Thai Eatery,,1064 River,Hyde Park,MA,02136,Eating & Drinking w/ Take Out,6173614448.0,42.258784388185894,-71.11774141014129
Asia Wok,,44 Harvard,Allston,MA,02134,Eating & Drinking w/ Take Out,6177826714.0,42.35451999966611,-71.13228000123604
Assaggio,,29 Prince,Boston,MA,02113,Eating & Drinking,6172277380.0,42.36458999969069,-71.05420000167129
Assembly on 2,,100 Summer,Boston,MA,02110,Eating & Drinking,,42.35356000017475,-71.05736000115795
Asta,,47 Massachusetts,Boston,MA,02115,Eating & Drinking,6178234664.0,42.34982000007785,-71.08927000150423
ATLANTIC FISH COMPANY,,761 Boylston,Boston,MA,02116,Eating & Drinking,6175364200.0,42.34934999974904,-71.08121000124713
A. T. O'Keeffe's Provisions & Pub,,911 Boylston,Boston,MA,02115,Eating & Drinking,6179363927.0,42.348430000204544,-71.0844200015548
At Union,,174 HARVARD ,BOSTON,MA,02134,Eating & Drinking,6172444909.0,42.36430120297508,-71.1278788689505
Audubon,,838 Beacon,Boston,MA,02215,Eating & Drinking,6174211910.0,42.347359953396136,-71.10317292998688
Auntie Anne's Pretzels/ Carvel,,700 Atlantic,Boston,MA,02111,Eating & Drinking w/ Take Out,6318975251.0,42.35204827404688,-71.0551747507777
Avana Market Place,,40 Harrison,Boston,MA,02111,Eating & Drinking w/ Take Out,6174263331.0,42.35166400036557,-71.0609680016387
Avana Sushi,,58 Franklin,Boston,MA,02110,Eating & Drinking,6174235000.0,42.35579591153433,-71.05845126002005
Azama Grill,,44 Harvard,Allston,MA,02134,Eating & Drinking w/ Take Out,6174477646.0,42.354441599209494,-71.13226232642607
B2J Tasty Pot,,75 Harvard,Allston,MA,02134,Eating & Drinking,4258983039.0,42.35362399970926,-71.1324120008245
Bab AlYemen,,468 Commonwealth,Boston,MA,02215,Eating & Drinking,6175996537.0,42.34855000014252,-71.09348000084897
Baby Cafe Kitchen,,128 Brighton,Allston,MA,02134,Eating & Drinking,6463182830.0,42.35263600000616,-71.13129100075554
BACCO RISTORANTE & BAR,,107 Salem,Boston,MA,02113,Eating & Drinking,6176292622.0,42.36418000011288,-71.05538000066188
Back Bay Social Club,,867 Boylston,Boston,MA,02116,Eating & Drinking,6175232727.0,42.34874000051143,-71.08344500180395
Back Deck,,10 West,Boston,MA,02111,Eating & Drinking,6174261266.0,42.354316032446626,-71.06215008405697
BACKWOODS PIZZA,,539 Dudley,Roxbury,MA,02119,Eating & Drinking w/ Take Out,6174457400.0,42.321739861683525,-71.07251108091724
Bagel Guild,,100 Hanover,Boston,MA,02108,Eating & Drinking w/ Take Out,8579987124.0,42.36222403255521,-71.05753575641967
Baguette Cafe,,224 Newbury,Boston,MA,02116,Eating & Drinking w/ Take Out,4157389515.0,42.34972980400916,-71.0811551860116
Bailey and Sage,,100 Federal,Boston,MA,02110,Eating & Drinking w/ Take Out,8573503032.0,42.354770000088834,-71.0561300019333
Bailey and Sage,,53 State,Boston,MA,02109,Eating & Drinking w/ Take Out,,42.35875086334468,-71.05619957647649
Bain Capital (40th Fl),,200 Clarendon,Boston,MA,02116,Eating & Drinking,6175162078.0,42.34921000046016,-71.07513000164919
Bain & Company - 9th Fl.,,350 Boylston,Boston,MA,02116,Eating & Drinking,6175722000.0,42.351530000324566,-71.07119000099715
Bakalao Kitchenette  Inc.,,1002 Tremont,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6176690211.0,42.33682173366284,-71.08455924915735
Baker Baking Company,,32 Cambridge,Charlestown,MA,02129,Eating & Drinking w/ Take Out,4129920207.0,42.383569999309664,-71.0743500017016
Bakey,,200 Faneuil Hall Market,Boston,MA,02109,Eating & Drinking w/ Take Out,6176700114.0,,
Balance Patch,,1031 Commonwealth,Boston,MA,02134,Eating & Drinking,,42.35229170503244,-71.12170808242345
Baleia,,264 Berkeley,Roxbury,MA,02118,Eating & Drinking,,42.34363103221516,-71.06267933119206
BALE RESTAURANT,,1052 Dorchester,Dorchester,MA,02125,Eating & Drinking w/ Take Out,6174799006.0,42.31479189559836,-71.05661128026615
Ballers,,25 Pier 4,Boston,MA,02210,Eating & Drinking w/ Take Out,6176507900.0,42.34952621101096,-71.0454445809522
Bamboo Beach Juice Bar,,687 Second,South Boston,MA,02127,Eating & Drinking w/ Take Out,,42.33717000053391,-71.03578000128032
Bamboo Thai Restaurant,,1616 Commonwealth,Brighton,MA,02135,Eating & Drinking,6178988846.0,42.3432500003897,-71.14271000076049
Bambu,,287 Adams,Dorchester,MA,02122,Eating & Drinking,5086151910.0,42.299664729510575,-71.05878941872314
Bangkok Bento Thai Kitchen & Sushi Bar,,272 Newbury,Boston,MA,02116,Eating & Drinking,8572638440.0,42.34911999938299,-71.08342000162908
Bangkok Pinto,,1041 Tremont,Mission Hill,MA,02120,Eating & Drinking w/ Take Out,6174425555.0,42.33659899979592,-71.0857480010929
Banh Mi Huong Que,,696 Washington,Boston,MA,02111,Eating & Drinking w/ Take Out,6179590309.0,42.35111282269877,-71.06279669422453
Banh Mi K,,108 Brighton,Allston,MA,02134,Eating & Drinking w/ Take Out,6172015301.0,42.35256457545934,-71.13037111078859
Banh Mi Oi,,1759 Centre,West Roxbury,MA,02132,Eating & Drinking w/ Take Out,6173250946.0,42.28751507883635,-71.15055866207874
Banh Mi Ok,,42 School,Boston,MA,02108,Eating & Drinking w/ Take Out,7813784022.0,42.35767999930571,-71.05965000117719
Banners Kitchen and Tap,,50 Causeway,Boston,MA,02114,Eating & Drinking,,42.365708404451155,-71.06147827139706
Banyan Bar & Refuge,,537 Tremont,Boston,MA,02116,Eating & Drinking,6178694951.0,42.34471182803439,-71.07140468918473
Barcelona Restaurant,,503 Tremont,Boston,MA,02116,Eating & Drinking,2032991415.0,42.34495289955733,-71.07079097652618
Bar & Kitchen Hospitality Inc.,,604 Columbus,Roxbury,MA,02118,Eating & Drinking,6174878696.0,42.33975009193944,-71.08239841041788
Bar Mezzana,,360 Harrison,Roxbury,MA,02118,Eating & Drinking,6175301770.0,42.34461586118345,-71.06325750494827
Bar Moxy,,240 Tremont,Boston,MA,02116,Eating & Drinking,6177934200.0,42.350960069553174,-71.06477513594344
BARNEY'S GRILL,,299 Havre,East Boston,MA,02128,Eating & Drinking,,42.3765262634294,-71.03379866937391
BARRY'S BOOTCAMP,,10 Huntington,Boston,MA,02116,Eating & Drinking,8573174826.0,42.34854500042617,-71.07731400127675
BARRY'S BOOTCAMP,,38 Chauncy,Boston,MA,02111,Eating & Drinking,,42.35383430965169,-71.05975349127195
Bartaco,,1321 Boylston,Boston,MA,02215,Eating & Drinking,6176158226.0,42.34465384321156,-71.09948485636042
Bartaco,,25 Thomson,Boston,MA,02210,Eating & Drinking,,42.35091422088697,-71.04740595226723
Bar Volpe,,170 Broadway,South Boston,MA,02127,Eating & Drinking,6173723190.0,42.3405100214425,-71.05285198088377
Basement Dining @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Eating & Drinking,,42.35055564807489,-71.06286082550342
