"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Gini Index of Income Inequality","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","igini","TimeFrame","GeoVintage","Source","Location"
"Census Tract","25025001008","MA","25025001008","=""25025001008""","0.54","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001009","MA","25025001009","=""25025001009""","0.34","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001010","MA","25025001010","=""25025001010""","0.54","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001011","MA","25025001011","=""25025001011""","0.48","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001012","MA","25025001012","=""25025001012""","0.45","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001013","MA","25025001013","=""25025001013""","0.29","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001014","MA","25025001014","=""25025001014""","0.52","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001015","MA","25025001015","=""25025001015""","0.35","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001016","MA","25025001016","=""25025001016""","0.48","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001017","MA","25025001017","=""25025001017""","0.58","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001018","MA","25025001018","=""25025001018""","0.28","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001019","MA","25025001019","=""25025001019""","0.41","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001020","MA","25025001020","=""25025001020""","0.56","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001021","MA","25025001021","=""25025001021""","0.37","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001022","MA","25025001022","=""25025001022""","0.53","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001023","MA","25025001023","=""25025001023""","0.53","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001024","MA","25025001024","=""25025001024""","0.49","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001025","MA","25025001025","=""25025001025""","0.58","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001026","MA","25025001026","=""25025001026""","0.49","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001027","MA","25025001027","=""25025001027""","0.31","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001028","MA","25025001028","=""25025001028""","0.53","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001029","MA","25025001029","=""25025001029""","0.51","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001030","MA","25025001030","=""25025001030""","0.4","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001031","MA","25025001031","=""25025001031""","0.31","2019-2023","2022","Census","Boston (City, 2020)"
"Census Tract","25025001032","MA","25025001032","=""25025001032""","0.36","2019-2023","2022","Census","Boston (City, 2020)"
